WEIGHT,WIDTH,LENGTH,HEIGHT,CHECKOUT LINKS,PRODUCT PORTALS,PRODUCT NAMES
35.50,30,64,81,shopee.ph/product/578517463/27058185965/,seller.shopee.ph/portal/product/27058185965,[ DO NOT BUY!!! FOR RESELLERS ONLY ] 10pcs Authentic Juniors Baby Dresses
36.00,30,64,82,,,
36.50,30,64,83,,,
37.00,30,64,84,shopee.ph/product/578517463/27364578009/,seller.shopee.ph/portal/product/27364578009,[ DO NOT BUY!!! FOR RESELLERS ONLY ] Baby Bibs
37.50,30,64,85,,,
38.00,30,64,86,,,
38.50,30,64,87,,,
39.00,30,64,88,,,
39.50,30,64,89,,,
40.00,30,64,90,,,
40.50,30,64,91,,,
41.00,30,64,92,,,
41.50,30,64,93,,,
42.00,30,64,94,,,
42.50,30,64,95,https://shopee.ph/product/578517463/27937738878,https://seller.shopee.ph/portal/product/27937738878,"[ DO NOT BUY!!! FOR RESELLERS ONLY ] Rabbit Bear Christmas Set
"
43.00,30,64,96,,,
43.50,30,64,97,,,
44.00,30,64,98,,,
44.50,30,64,99,,,
45.00,30,64,100,,,
45.50,30,64,101,,,
